code,description
D412,Neoplasm of uncertain behavior of ureter
D42,Neoplasm of uncertain behavior of meninges
D43,Neoplasm of uncertain behavior of brain and cnsl
D44,Neoplasm of uncertain behavior of endocrine glands
D441,Neoplasm of uncertain behavior of adrenal gland
D46,Myelodysplastic syndromes
D462,Refractory anemia with excess of blasts [RAEB]
D47,"Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss"
D470,Mast cell neoplasms of uncertain behavior
D47Z,"Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss"
D48,Neoplasm of uncertain behavior of other and unsp sites
D481,Neoplasm of uncertain behavior of connctv/soft tiss
D4811,Desmoid tumor
D486,Neoplasm of uncertain behavior of breast
D49,Neoplasms of unspecified behavior
D495,Neoplasm of unsp behavior of other genitourinary organs
D4951,Neoplasm of unspecified behavior of kidney
D498,Neoplasm of unspecified behavior of other specified sites
D50,Iron deficiency anemia
D51,Vitamin B12 deficiency anemia
D52,Folate deficiency anemia
D53,Other nutritional anemias
D55,Anemia due to enzyme disorders
D552,Anemia due to disorders of glycolytic enzymes
D56,Thalassemia
D57,Sickle-cell disorders
D570,Hb-SS disease with crisis
D572,Sickle-cell/Hb-C disease
D5721,Sickle-cell/Hb-C disease with crisis
D574,Sickle-cell thalassemia
D5741,"Sickle-cell thalassemia, unspecified, with crisis"
D5743,Sickle-cell thalassemia beta zero with crisis
D5745,Sickle-cell thalassemia beta plus with crisis
D578,Other sickle-cell disorders
D5781,Other sickle-cell disorders with crisis
D58,Other hereditary hemolytic anemias
D59,Acquired hemolytic anemia
D591,Other autoimmune hemolytic anemias
D593,Hemolytic-uremic syndrome
D60,Acquired pure red cell aplasia [erythroblastopenia]
D61,Oth aplastic anemias and other bone marrow failure syndromes
D610,Constitutional aplastic anemia
D618,Oth aplastic anemias and other bone marrow failure syndromes
D6181,Pancytopenia
D63,Anemia in chronic diseases classified elsewhere
D64,Other anemias
D648,Other specified anemias
D68,Other coagulation defects
D680,Von Willebrand disease
D6802,"Von Willebrand disease, type 2"
D683,Hemorrhagic disorder due to circulating anticoagulants
D6831,"Hemorrhagic disorder due to intrns circ anticoag,antib,inhib"
D685,Primary thrombophilia
D686,Other thrombophilia
D69,Purpura and other hemorrhagic conditions
D694,Other primary thrombocytopenia
D695,Secondary thrombocytopenia
D70,Neutropenia
D72,Other disorders of white blood cells
D721,Eosinophilia
D7211,Hypereosinophilic syndrome [HES]
D728,Other specified disorders of white blood cells
D7281,Decreased white blood cell count
D7282,Elevated white blood cell count
D73,Diseases of spleen
D738,Other diseases of spleen
D74,Methemoglobinemia
D75,Other and unsp diseases of blood and blood-forming organs
D758,Other specified diseases of blood and blood-forming organs
D7582,Heparin induced thrombocytopenia (HIT)
D7583,Thrombocytosis
D76,Oth dis with lymphoreticular and reticulohistiocytic tissue
D78,Intraop and postprocedural complications of the spleen
D780,Intraop hemor/hemtom of the spleen complicating a procedure
D781,Accidental pnctr & lac of the spleen during a procedure
D782,Postproc hemorrhage of the spleen following a procedure
D783,Postproc hematoma and seroma of the spleen fol a procedure
D788,Oth intraop and postprocedural complications of the spleen
D80,Immunodeficiency with predominantly antibody defects
D81,Combined immunodeficiencies
D813,Adenosine deaminase [ADA] deficiency
D818,Other combined immunodeficiencies
D8181,Biotin-dependent carboxylase deficiency
D82,Immunodeficiency associated with other major defects
D83,Common variable immunodeficiency
D84,Other immunodeficiencies
D848,Other specified immunodeficiencies
D8482,Immunodeficiency due to drugs and external causes
D86,Sarcoidosis
D868,Sarcoidosis of other sites
D89,"Oth disorders involving the immune mechanism, NEC"
D894,Mast cell activation syndrome and related disorders
D898,"Oth disrd involving the immune mechanism, NEC"
D8981,Graft-versus-host disease
D8983,Cytokine release syndrome
E00,Congenital iodine-deficiency syndrome
E01,Iodine-deficiency related thyroid disorders and allied cond
E03,Other hypothyroidism
E04,Other nontoxic goiter
E05,Thyrotoxicosis [hyperthyroidism]
E050,Thyrotoxicosis with diffuse goiter
E051,Thyrotoxicosis with toxic single thyroid nodule
E052,Thyrotoxicosis with toxic multinodular goiter
E053,Thyrotoxicosis from ectopic thyroid tissue
E054,Thyrotoxicosis factitia
E058,Other thyrotoxicosis
E059,"Thyrotoxicosis, unspecified"
E06,Thyroiditis
E07,Other disorders of thyroid
E078,Other specified disorders of thyroid
E08,Diabetes mellitus due to underlying condition
E080,Diabetes due to underlying condition w hyperosmolarity
E081,Diabetes mellitus due to underlying condition w ketoacidosis
E082,Diabetes due to underlying condition w kidney complications
E083,Diabetes due to underlying condition w ophthalmic comp
E0831,Diabetes due to underlying condition w unsp diabetic rtnop
E0832,Diabetes due to undrl cond w mild nonprlf diabetic rtnop
E08321,Diab d/t undrl cond w mild nonprlf diab rtnop w mclr edema
E08329,Diab d/t undrl cond w mild nonprlf diab rtnop w/o mclr edema
E0833,Diabetes due to undrl cond w moderate nonprlf diabetic rtnop
E08331,Diab due to undrl cond w mod nonprlf diab rtnop w mclr edema
E08339,Diab d/t undrl cond w mod nonprlf diab rtnop w/o mclr edema
E0834,Diabetes due to undrl cond w severe nonprlf diabetic rtnop
E08341,Diab d/t undrl cond w severe nonprlf diab rtnop w mclr edema
E08349,Diab d/t undrl cond w sev nonprlf diab rtnop w/o mclr edema
E0835,Diabetes due to underlying condition w prolif diabetic rtnop
E08351,Diab due to undrl cond w prolif diab rtnop w macular edema
E08352,Diabetes with prolif diabetic rtnop with trctn dtch macula
E08353,Diabetes with prolif diabetic rtnop with trctn dtch n-mcla
E08354,Diabetes with prolif diabetic rtnop with combined detachment
E08355,Diabetes with stable proliferative diabetic retinopathy
E08359,Diab due to undrl cond w prolif diab rtnop w/o macular edema
E0837,"Diabetes with diabetic macular edema, resolved fol treatment"
E084,Diabetes due to underlying condition w neurological comp
E085,Diabetes due to underlying condition w circulatory comp
E086,Diabetes due to underlying condition w oth complications
E0861,Diabetes due to underlying condition w diabetic arthropathy
E0862,Diabetes due to underlying condition w skin complications
E0863,Diabetes due to underlying condition w oral complications
E0864,Diabetes mellitus due to underlying condition w hypoglycemia
E09,Drug or chemical induced diabetes mellitus
E090,Drug or chemical induced diabetes mellitus w hyperosmolarity
E091,Drug or chemical induced diabetes mellitus with ketoacidosis
E092,Drug/chem diabetes mellitus w kidney complications
E093,Drug/chem diabetes mellitus w ophthalmic complications
E0931,Drug/chem diabetes mellitus w unsp diabetic retinopathy
E0932,Drug/chem diabetes w mild nonprlf diabetic retinopathy
E09321,Drug/chem diab w mild nonprlf diabetic rtnop w macular edema
E09329,Drug/chem diab w mild nonprlf diab rtnop w/o macular edema
E0933,Drug/chem diabetes w moderate nonprlf diabetic retinopathy
E09331,Drug/chem diab w moderate nonprlf diab rtnop w macular edema
E09339,Drug/chem diab w mod nonprlf diab rtnop w/o macular edema
E0934,Drug/chem diabetes w severe nonprlf diabetic retinopathy
E09341,Drug/chem diab w severe nonprlf diab rtnop w macular edema
E09349,Drug/chem diab w severe nonprlf diab rtnop w/o macular edema
E0935,Drug/chem diabetes w proliferative diabetic retinopathy
E09351,Drug/chem diabetes w prolif diabetic rtnop w macular edema
E09352,Drug/chem diab with prolif diab rtnop with trctn dtch macula
E09353,Drug/chem diab with prolif diab rtnop with trctn dtch n-mcla
E09354,Drug/chem diab with prolif diabetic rtnop with comb detach
E09355,Drug/chem diabetes with stable prolif diabetic retinopathy
E09359,Drug/chem diabetes w prolif diabetic rtnop w/o macular edema
E0937,"Drug/chem diab with diab macular edema, resolved fol trtmt"
E094,Drug/chem diabetes mellitus w neurological complications
E095,Drug/chem diabetes mellitus w circulatory complications
E096,Drug/chem diabetes mellitus w oth complications
E0961,Drug/chem diabetes mellitus w diabetic arthropathy
E0962,Drug/chem diabetes mellitus w skin complications
E0963,Drug/chem diabetes mellitus w oral complications
E0964,Drug or chemical induced diabetes mellitus with hypoglycemia
E10,Type 1 diabetes mellitus
E101,Type 1 diabetes mellitus with ketoacidosis
E102,Type 1 diabetes mellitus with kidney complications
E103,Type 1 diabetes mellitus with ophthalmic complications
E1031,Type 1 diabetes mellitus with unsp diabetic retinopathy
E1032,Type 1 diabetes w mild nonproliferative diabetic retinopathy
E10321,Type 1 diab w mild nonprlf diabetic rtnop w macular edema
E10329,Type 1 diab w mild nonprlf diabetic rtnop w/o macular edema
E1033,Type 1 diabetes w moderate nonprlf diabetic retinopathy
E10331,Type 1 diab w moderate nonprlf diab rtnop w macular edema
E10339,Type 1 diab w moderate nonprlf diab rtnop w/o macular edema
E1034,Type 1 diabetes w severe nonprlf diabetic retinopathy
E10341,Type 1 diab w severe nonprlf diabetic rtnop w macular edema
E10349,Type 1 diab w severe nonprlf diab rtnop w/o macular edema
E1035,Type 1 diabetes w proliferative diabetic retinopathy
E10351,Type 1 diabetes w prolif diabetic rtnop w macular edema
E10352,Type 1 diab with prolif diab rtnop with trctn dtch macula
E10353,Type 1 diab with prolif diab rtnop with trctn dtch n-mcla
E10354,Type 1 diabetes with prolif diabetic rtnop with comb detach
E10355,Type 1 diabetes with stable prolif diabetic retinopathy
E10359,Type 1 diabetes w prolif diabetic rtnop w/o macular edema
E1037,"Type 1 diab with diabetic macular edema, resolved fol trtmt"
E104,Type 1 diabetes mellitus with neurological complications
E105,Type 1 diabetes mellitus with circulatory complications
E106,Type 1 diabetes mellitus with other specified complications
E1061,Type 1 diabetes mellitus with diabetic arthropathy
E1062,Type 1 diabetes mellitus with skin complications
E1063,Type 1 diabetes mellitus with oral complications
E1064,Type 1 diabetes mellitus with hypoglycemia
E10A,"Type 1 diabetes mellitus, presymptomatic"
E11,Type 2 diabetes mellitus
E110,Type 2 diabetes mellitus with hyperosmolarity
E111,Type 2 diabetes mellitus with ketoacidosis
E112,Type 2 diabetes mellitus with kidney complications
E113,Type 2 diabetes mellitus with ophthalmic complications
E1131,Type 2 diabetes mellitus with unsp diabetic retinopathy
E1132,Type 2 diabetes w mild nonproliferative diabetic retinopathy
E11321,Type 2 diab w mild nonprlf diabetic rtnop w macular edema
E11329,Type 2 diab w mild nonprlf diabetic rtnop w/o macular edema
E1133,Type 2 diabetes w moderate nonprlf diabetic retinopathy
E11331,Type 2 diab w moderate nonprlf diab rtnop w macular edema
E11339,Type 2 diab w moderate nonprlf diab rtnop w/o macular edema
E1134,Type 2 diabetes w severe nonprlf diabetic retinopathy
E11341,Type 2 diab w severe nonprlf diabetic rtnop w macular edema
E11349,Type 2 diab w severe nonprlf diab rtnop w/o macular edema
E1135,Type 2 diabetes w proliferative diabetic retinopathy
E11351,Type 2 diabetes w prolif diabetic rtnop w macular edema
E11352,Type 2 diab with prolif diab rtnop with trctn dtch macula
E11353,Type 2 diab with prolif diab rtnop with trctn dtch n-mcla
E11354,Type 2 diabetes with prolif diabetic rtnop with comb detach
E11355,Type 2 diabetes with stable prolif diabetic retinopathy
E11359,Type 2 diabetes w prolif diabetic rtnop w/o macular edema
E1137,"Type 2 diab with diabetic macular edema, resolved fol trtmt"
E114,Type 2 diabetes mellitus with neurological complications
E115,Type 2 diabetes mellitus with circulatory complications
E116,Type 2 diabetes mellitus with other specified complications
E1161,Type 2 diabetes mellitus with diabetic arthropathy
E1162,Type 2 diabetes mellitus with skin complications
E1163,Type 2 diabetes mellitus with oral complications
E1164,Type 2 diabetes mellitus with hypoglycemia
E13,Other specified diabetes mellitus
E130,Other specified diabetes mellitus with hyperosmolarity
E131,Other specified diabetes mellitus with ketoacidosis
E132,Other specified diabetes mellitus with kidney complications
E133,Oth diabetes mellitus with ophthalmic complications
E1331,Oth diabetes mellitus with unspecified diabetic retinopathy
E1332,Oth diabetes w mild nonproliferative diabetic retinopathy
E13321,Oth diabetes w mild nonprlf diabetic rtnop w macular edema
E13329,Oth diabetes w mild nonprlf diabetic rtnop w/o macular edema
E1333,Oth diabetes w moderate nonprlf diabetic retinopathy
E13331,Oth diab w moderate nonprlf diabetic rtnop w macular edema
E13339,Oth diab w moderate nonprlf diabetic rtnop w/o macular edema
E1334,Oth diabetes w severe nonproliferative diabetic retinopathy
E13341,Oth diabetes w severe nonprlf diabetic rtnop w macular edema
E13349,Oth diab w severe nonprlf diabetic rtnop w/o macular edema
E1335,Oth diabetes mellitus w proliferative diabetic retinopathy
E13351,Oth diabetes w prolif diabetic retinopathy w macular edema
E13352,Oth diab with prolif diabetic rtnop with trctn dtch macula
E13353,Oth diab with prolif diabetic rtnop with trctn dtch n-mcla
E13354,Oth diabetes with prolif diabetic rtnop with combined detach
E13355,Oth diabetes with stable proliferative diabetic retinopathy
E13359,Oth diabetes w prolif diabetic retinopathy w/o macular edema
E1337,"Oth diabetes with diabetic macular edema, resolved fol trtmt"
E134,Oth diabetes mellitus with neurological complications
E135,Oth diabetes mellitus with circulatory complications
E136,Oth diabetes mellitus with other specified complications
E1361,Other specified diabetes mellitus with diabetic arthropathy
E1362,Other specified diabetes mellitus with skin complications
E1363,Other specified diabetes mellitus with oral complications
E1364,Other specified diabetes mellitus with hypoglycemia
E16,Other disorders of pancreatic internal secretion
E16A,Hypoglycemia level
E20,Hypoparathyroidism
E208,Other hypoparathyroidism
E2081,Hypoparathyroidism due to impaired PTH secretion
E21,Hyperparathyroidism and other disorders of parathyroid gland
E22,Hyperfunction of pituitary gland
E23,Hypofunction and other disorders of the pituitary gland
E24,Cushing's syndrome
E25,Adrenogenital disorders
E26,Hyperaldosteronism
E260,Primary hyperaldosteronism
E268,Other hyperaldosteronism
E27,Other disorders of adrenal gland
E274,Other and unspecified adrenocortical insufficiency
E28,Ovarian dysfunction
E283,Primary ovarian failure
E2831,Premature menopause
E29,Testicular dysfunction
E30,"Disorders of puberty, not elsewhere classified"
E31,Polyglandular dysfunction
E312,Multiple endocrine neoplasia [MEN] syndromes
E32,Diseases of thymus
E34,Other endocrine disorders
E340,Carcinoid syndrome
E343,Short stature due to endocrine disorder
E3432,Genetic causes of short stature
